,,09월 10일,10월 11일,11월 12일,12월 13일,13/14,ranking
SV Ried,Aut,1.875,0.875,2.925,1.45,1.56,8.685
Apollon Limassol,Cyp,0.85,1.625,1.825,0.8,3.55,8.65
AEK Larnaca,Cyp,0.85,0.625,5.825,0.8,0.55,8.65
Lausanne Sports,Sui,1.15,3.18,1.2,1.675,1.44,8.645
Rapid Bucuresti,Rom,1.2166,0.6332,2.8666,2.36,1.375,8.451
Tromsø IL,Nor,1.92,0.475,0.96,2.48,2.52,8.355
Sivasspor,Tur,3.02,0.92,1.02,2.04,1.34,8.34
Motherwell,Sco,1.5332,2.22,0.55,2.36,1.65,8.313
Slask Wroclaw,Pol,0.425,0.9,2.825,2,2.125,8.275
KVC Westerlo,Bel,1.74,0.92,3.02,1.3,1.28,8.26
Cercle Brugge,Bel,1.74,1.92,2.02,1.3,1.28,8.26
Brøndby IF,Den,2.38,2.84,1.62,0.66,0.76,8.26
Ukraine,,1.16,2.0166,1.55,1.9,1.5666,8.193
FK Aktobe,Kaz,1.75,1.675,1.325,1.275,2.125,8.15
Videoton Fehérvár,Hun,0.55,1.05,1.45,4.6,0.425,8.075
Mladá Boleslav,Cze,0.82,0.7,2.05,2.7,1.6,7.87
Eskisehirspor,Tur,1.52,0.92,1.02,3.04,1.34,7.84
Gaziantepspor,Tur,1.52,0.92,2.02,2.04,1.34,7.84
Hearts FC,Sco,2.0332,0.72,2.05,2.36,0.65,7.813
AIK Stockholm,Swe,0.5,2.02,0.58,4.025,0.64,7.765
FK Ventspils,Lat,3.45,0.6,1.125,1.25,1.325,7.75
Xanthi FC,Gre,1.58,1.52,1.52,0.88,2.22,7.72
Olympiakos Volou,Gre,1.58,1.52,2.52,0.88,1.22,7.72
FC Pasching,Aut,1.875,0.875,1.425,0.45,3.06,7.685
AEL Limassol,Cyp,0.85,0.625,1.825,3.8,0.55,7.65
Servette FC Genève,Sui,1.15,1.18,1.2,2.675,1.44,7.645
Litex Lovech,Bul,2.125,2.425,1.8,0.15,1.125,7.625
Garabag Agdam,Azb,1.8,1.9,1.275,0.6,2,7.575
Pandurii Târgu Jiu,Rom,1.2166,0.6332,0.8666,1.36,3.375,7.451
HJK Helsinki,Fin,0.775,1.86,1.8,1.9,1.1,7.435
Hapoel Kiryat Shmona,Isr,1.45,0.925,1.2,2.65,1.15,7.375
Sigma Olomouc,Cze,2.32,0.7,1.05,1.7,1.6,7.37
FK Teplice,Cze,2.32,0.7,1.05,1.7,1.6,7.37
Randers FC,Den,1.88,2.34,0.62,0.66,1.76,7.26
Belgium,,1.74,0.92,2.02,1.3,1.28,7.26
AE Larissa,Gre,2.08,1.52,1.52,0.88,1.22,7.22
Admira Wacker,Aut,1.875,0.875,1.425,1.45,1.56,7.185
Neftchi Baku,Azb,0.3,0.4,1.275,3.6,1.5,7.075
Ekranas Panevezys,Lit,1.25,1.125,1.7,1.725,1.25,7.05
Dinamo Tbilisi,Geo,1.35,1.375,2.075,0.3,1.875,6.975
Petrolul Ploiesti,Rom,1.2166,0.6332,0.8666,1.36,2.875,6.951
Astra Giurgiu,Rom,1.2166,0.6332,0.8666,1.36,2.875,6.951
Gaz Metan Medias,Rom,1.2166,0.6332,2.3666,1.36,1.375,6.951
Maccabi Netanya,Isr,2.45,0.925,1.2,1.15,1.15,6.875
Baník Ostrava,Cze,0.82,1.7,1.05,1.7,1.6,6.87
Turkey,,1.52,0.92,1.02,2.04,1.34,6.84
Vojvodina Novi Sad,Srb,1.6,0.7,0.925,1.6,2,6.825
FC Midtjylland,Den,0.88,1.34,1.62,2.16,0.76,6.76
Dinamo Minsk,Bls,1.175,2.675,0.625,0.9,1.35,6.725
Greece,,1.58,1.52,1.52,0.88,1.22,6.72
Switzerland,,1.15,1.18,1.2,1.675,1.44,6.645
Hapoel Ramat-Gan,Isr,1.45,0.925,1.2,0.65,2.15,6.375
