,,12월 13일,13/14,14/15,15/16,16/17,ranking
Víkingur,Far,0.35,0.675,1.275,0.325,0.325,2.95
Breidablik,Isl,0.25,1.5,0.5,0.225,0.45,2.925
MTK Budapest,Hun,0.85,0.175,0.425,0.575,0.875,2.9
Diósgyöri Miskolc,Hun,0.6,0.175,1.425,0.325,0.375,2.9
Honvéd Budapest,Hun,1.1,0.675,0.425,0.325,0.375,2.9
Rudar Velenje,Slo,0.65,0.525,1.05,0.2,0.45,2.875
Metalurg Skopje,Mac,0.75,0.35,1.225,0.3,0.25,2.875
MFK Kosice,Svk,0.3,0.325,1.05,0.75,0.425,2.85
Hibernians FC,Mlt,0.425,0.425,0.275,1.175,0.5,2.8
SJK Seinäjoki,Fin,0.4,0.1,0.48,0.45,1.35,2.78
FC Zestafoni,Geo,1.3,0.375,0.75,0.125,0.225,2.775
FC Santa Coloma,And,0.25,0.3166,1.1,0.5332,0.5332,2.733
Skonto Riga,Lat,0.75,0.825,0.05,0.825,0.275,2.725
Daugava Daugavpils,Lat,0.5,1.325,0.3,0.325,0.275,2.725
Slovenia,,0.65,0.525,0.8,0.2,0.45,2.625
Spartak Myjava,Svk,0.3,0.325,0.55,0.75,0.675,2.6
Cork City,Irl,0.2,0.05,0.4,0.39,1.525,2.565
Zeta Golubovci,Mon,1.775,0.25,0.15,0.2,0.175,2.55
RoPS Rovaniemi,Fin,0.4,0.1,0.98,0.2,0.85,2.53
MyPa-47,Fin,0.9,0.1,0.98,0.2,0.35,2.53
KuPS Kuopio,Fin,1.4,0.1,0.48,0.2,0.35,2.53
Alashkert FC,Arm,0.175,0.225,0.075,0.825,1.225,2.525
B36 Torshavn,Far,0.6,0.175,0.525,0.575,0.575,2.45
USV Eschen-Mauren,Lie,0.25,0.2,0.5,1,0.5,2.45
HB Torshavn,Far,0.1,0.425,1.275,0.325,0.325,2.45
IBV Vestmannaeyjar,Isl,0.5,1,0.5,0.225,0.2,2.425
FC Tiraspol,Mol,0.45,0.925,0.6,0.25,0.175,2.4
Slovakia,,0.3,0.325,0.55,0.75,0.425,2.35
KF Laçi,Alb,0.15,0.65,0.675,0.675,0.175,2.325
Derry City,Irl,0.2,0.55,0.9,0.14,0.525,2.315
Honka Espoo,Fin,0.4,0.6,0.73,0.2,0.35,2.28
Inter Turku,Fin,0.9,0.35,0.48,0.2,0.35,2.28
Ulisses Yerevan,Arm,1.175,0.225,0.075,0.575,0.225,2.275
FK Liepaja,Lat,0.25,0.325,0.05,0.325,1.275,2.225
Jeunesse d'Esch,Lux,0.525,0.8,0.35,0.15,0.4,2.225
Liechtenstein,,,0.2,0.5,1,0.5,2.2
Thór Akureyri,Isl,0.75,0.5,0.5,0.225,0.2,2.175
Zaria Balti,Mol,0.45,0.675,0.35,0.25,0.425,2.15
Saxan Gagauz Yeri,Mol,0.45,0.675,0.35,0.5,0.175,2.15
Veris Chisinau,Mol,0.45,0.675,0.6,0.25,0.175,2.15
Teuta Durrës,Alb,0.4,0.65,0.175,0.425,0.425,2.075
KS Flamurtari Vlorë,Alb,0.4,0.4,0.675,0.425,0.175,2.075
Celik Niksic,Mon,0.775,0.5,0.4,0.2,0.175,2.05
IFK Mariehamn,Fin,0.4,0.35,0.48,0.2,0.6,2.03
VPS Vaasa,Fin,0.4,0.1,0.73,0.45,0.35,2.03
JJK Jyväskylä,Fin,0.9,0.1,0.48,0.2,0.35,2.03
Spartaks Jurmala,Lat,0.25,0.325,0.05,0.825,0.525,1.975
Metalurgs Liepaja,Lat,0.75,0.575,0.05,0.325,0.275,1.975
EB Streymur,Far,0.35,1.175,0.275,0.075,0.075,1.95
Valur Reykjavik,Isl,0.25,0.5,0.5,0.225,0.45,1.925
Vikingur Reykjavik,Isl,0.25,0.5,0.5,0.475,0.2,1.925
Fram Reykjavik,Isl,0.25,0.5,0.75,0.225,0.2,1.925
Hungary,,0.6,0.175,0.425,0.325,0.375,1.9
Moldova,,0.45,0.675,0.35,0.25,0.175,1.9
Renova Dzepciste,Mac,0.75,0.1,0.225,0.55,0.25,1.875
FK Turnovo,Mac,0.25,0.6,0.475,0.3,0.25,1.875
Atlantas Klaipeda,Lit,0.225,0.25,0.6,0.4,0.35,1.825
Suduva Marijampole,Lit,0.725,0.5,0.1,0.15,0.35,1.825
SK Tirana,Alb,0.65,0.4,0.175,0.425,0.175,1.825
Uni College Dublin,Irl,0.2,0.05,0.4,0.64,0.525,1.815
Kalev Sillamäe,Est,0.075,0.2,0.8,0.45,0.275,1.8
FC Lahti,Fin,0.4,0.1,0.48,0.45,0.35,1.78
TPS Turku,Fin,0.4,0.35,0.48,0.2,0.35,1.78
Banants Yerevan,Arm,0.175,0.225,0.575,0.325,0.475,1.775
Gandzasar Kapan,Arm,0.675,0.475,0.075,0.325,0.225,1.775
Torpedo Kutaisi,Geo,0.55,0.625,0.25,0.125,0.225,1.775
